first_name,last_name,date_of_birth,sex,maths,sci,social,english,hindi,kannada
Arjun,Das,17/07/2009,M,61,58,52,87,43,46
Diya,Kumar,10/07/2008,F,57,59,99,78,33,60
Vaishnavi,Prabhu,21/04/2011,F,65,30,55,84,84,78
Riya,Mehta,20/11/2009,F,43,41,83,46,75,79
Diya,Das,29/07/2010,F,98,45,83,45,67,81
Amit,Sharma,16/09/2011,M,59,67,45,94,59,47
Anjali,Prabhu,25/07/2011,F,76,50,82,62,56,69
Pradeep,Singh,16/12/2008,M,98,61,55,69,78,69
Nikhil,Pillai,24/04/2008,M,59,34,75,65,64,43
Sharath,Jadhav,06/10/2009,M,57,93,85,96,88,53
Priya,Shah,23/02/2011,F,98,63,89,97,81,81
Aniket,Gowda,07/10/2010,M,41,36,49,49,50,89
Anil,Bhat,05/05/2011,M,89,97,67,75,31,49
Kruthi,Gupta,24/08/2009,F,85,50,93,40,63,57
Harish,Pillai,01/08/2011,M,94,55,54,63,50,35
Shilpa,Kumar,17/08/2008,F,76,69,65,43,60,45
Prakash,Pillai,21/05/2008,M,98,46,51,82,90,56
Sowmya,Menon,27/05/2011,F,84,57,60,85,69,86
Rashmi,Jadhav,25/11/2010,F,87,45,66,54,38,78
Darshan,Shetty,16/04/2009,M,58,30,44,85,37,64
Aditya,Menon,07/11/2009,M,39,95,65,57,92,62
Sharath,Patil,26/08/2010,M,61,90,87,52,42,47
Lakshmi,Shenoy,21/04/2010,F,89,36,47,43,81,78
Manish,Mehta,24/01/2009,M,98,87,52,67,53,70
Vidya,Menon,03/06/2008,F,86,100,47,43,31,46
Sai,Shenoy,21/09/2010,M,91,57,86,97,37,56
Aanya,Bhat,27/06/2009,F,88,66,89,84,92,54
Gaurav,Mehta,29/04/2008,M,99,37,75,43,36,96
Rahul,Gowda,13/06/2008,M,53,38,43,83,60,86
Sharath,Shah,31/03/2011,M,35,40,88,82,70,68
Nikhil,Shah,27/06/2009,M,80,46,73,69,70,44
Ishaan,Reddy,27/02/2011,M,42,39,62,72,63,51
Kavya,Jadhav,15/05/2009,F,77,66,55,68,68,36
Neha,Jadhav,02/10/2008,F,63,44,48,87,49,69
Varshini,Mehta,03/12/2009,F,56,63,99,71,62,41
Yash,Pillai,20/07/2009,M,35,30,77,89,46,68
Dev,Shetty,16/12/2011,M,84,31,49,44,49,39
Vanishree,Shetty,30/10/2008,F,85,46,40,59,76,40
Tanvi,Mishra,26/05/2009,F,43,75,87,79,49,65
Pranav,Jadhav,24/04/2010,M,33,52,77,90,82,66
Shruti,Nair,07/12/2011,F,43,78,39,94,90,63
Ishaan,Deshpande,17/09/2009,M,59,58,38,82,54,86
Anjali,Menon,22/05/2008,F,65,74,98,65,72,38
Vivek,Patel,04/04/2011,M,63,34,48,78,85,79
Ramya,Reddy,13/11/2010,F,44,79,59,56,35,90
Nitin,Shinde,07/01/2011,M,55,76,90,44,72,75
Harish,Gowda,25/09/2009,M,82,71,86,84,67,51
Kiran,Mishra,15/02/2010,M,52,68,86,75,30,73
Tanvi,Shenoy,02/04/2011,F,71,89,91,68,57,95
Rohan,Hegde,21/11/2010,M,72,41,65,83,69,63
Deepak,Kumar,04/04/2008,M,61,90,44,69,83,59
Shilpa,Bhat,14/05/2009,F,48,30,48,89,84,63
Nitin,Prabhu,12/04/2008,M,61,45,93,48,89,75
Amrutha,Pillai,30/10/2010,F,84,100,92,97,50,95
